      EF                  x                  y                  z                J0_x               J0_y               J0_z               J1_x               J1_y               J1_z               J2_x               J2_y               J2_z      
      12.026400           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.026600           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.026800           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.027000           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.027200           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.027400           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.027600           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.027800           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.028000           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.028200           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.028400           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.028600           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.028800           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.029000           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.029200           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.029400           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.029600           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.029800           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.030000           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.030200           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.030400           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
